iter	Passed	Remaining
633	1351	780
634	1352	777
635	1353	774
636	1354	771
637	1355	769
638	1358	767
639	1358	764
640	1360	761
641	1360	758
642	1362	756
643	1363	753
644	1364	750
645	1365	748
646	1366	745
647	1367	742
648	1368	739
649	1369	737
650	1370	734
651	1371	732
652	1372	729
653	1373	726
654	1374	724
655	1375	721
656	1376	718
657	1377	716
658	1378	713
659	1379	710
660	1380	708
661	1382	705
662	1383	703
663	1386	701
664	1387	698
665	1388	696
666	1389	693
667	1390	691
668	1391	688
669	1392	685
670	1393	683
671	1394	680
672	1395	678
673	1396	675
674	1397	673
675	1398	670
676	1401	668
677	1402	666
678	1403	663
679	1404	660
680	1405	658
681	1406	655
682	1407	653
683	1408	650
684	1409	648
685	1410	645
686	1411	643
687	1412	640
688	1413	638
689	1416	636
690	1417	633
691	1418	631
692	1419	628
693	1420	626
694	1421	623
695	1422	621
696	1423	618
697	1424	616
698	1425	613
699	1426	611
700	1427	608
701	1428	606
702	1431	604
703	1432	602
704	1433	599
705	1434	597
706	1435	594
707	1436	592
708	1437	589
709	1438	587
710	1439	585
711	1440	582
712	1441	580
713	1442	577
714	1443	575
715	1446	573
716	1447	571
717	1448	568
718	1449	566
719	1450	563
720	1451	561
721	1452	559
722	1453	556
723	1454	554
724	1455	552
725	1456	549
726	1457	547
727	1458	545
728	1461	543
729	1462	541
730	1463	538
731	1464	536
732	1465	533
733	1466	531
734	1467	529
735	1468	526
736	1469	524
737	1471	522
738	1472	519
739	1473	517
740	1474	515
741	1475	512
742	1476	510
743	1477	508
744	1478	505
745	1479	503
746	1480	501
747	1481	499
748	1482	496
749	1483	494
750	1484	492
751	1485	489
752	1486	487
753	1487	485
754	1490	483
755	1491	481
756	1492	478
757	1493	476
758	1494	474
759	1495	472
760	1496	469
761	1497	467
762	1498	465
763	1499	463
764	1500	460
765	1501	458
766	1502	456
767	1505	454
768	1506	452
769	1507	450
770	1509	448
771	1510	446
772	1511	443
773	1513	441
774	1514	439
775	1515	437
776	1517	435
777	1520	433
778	1522	431
779	1523	429
780	1524	427
781	1525	425
782	1526	423
783	1527	420
784	1528	418
785	1529	416
786	1530	414
787	1531	411
788	1532	409
789	1534	408
790	1536	405
791	1537	403
792	1538	401
793	1539	399
794	1540	397
795	1541	395
796	1542	392
797	1543	390
798	1544	388
799	1545	386
800	1546	384
801	1547	382
802	1550	380
803	1551	378
804	1552	376
805	1553	373
